Bit Width,Algorithm,Execution Time,CPU Usage,Memory Usage
64,Barrett,2.0400009816512465e-05,48.1,26.171875
64,Montgomery,6.499991286545992e-06,32.8,26.171875
64,Barrett,6.200018106028438e-06,30.6,26.171875
64,Montgomery,3.7999998312443495e-06,27.3,26.171875
64,Barrett,8.000002708286047e-06,31.2,26.171875
64,Montgomery,4.7000066842883825e-06,30.1,26.171875
64,Barrett,7.299997378140688e-06,32.0,26.171875
64,Montgomery,4.6000059228390455e-06,32.6,26.171875
64,Barrett,6.599992047995329e-06,29.8,26.171875
64,Montgomery,4.4000043999403715e-06,36.9,26.171875
64,Barrett,7.499998901039362e-06,33.3,26.171875
64,Montgomery,4.799978341907263e-06,29.9,26.171875
64,Barrett,6.599992047995329e-06,26.6,26.171875
64,Montgomery,4.4000043999403715e-06,28.4,26.171875
64,Barrett,6.89999433234334e-06,38.0,26.171875
64,Montgomery,6.199989002197981e-06,31.1,26.171875
64,Barrett,7.099995855242014e-06,31.3,26.171875
64,Montgomery,5.0000089686363935e-06,31.1,26.171875
64,Barrett,6.499991286545992e-06,24.4,26.171875
64,Montgomery,5.3000112529844046e-06,33.8,26.171875
64,Barrett,8.99998121894896e-06,25.7,26.17578125
64,Montgomery,6.400019628927112e-06,19.5,26.17578125
64,Barrett,5.900015821680427e-06,19.6,26.17578125
64,Montgomery,4.5000051613897085e-06,14.5,26.17578125
64,Barrett,5.5000127758830786e-06,14.2,26.17578125
64,Montgomery,3.6999990697950125e-06,16.2,26.17578125
64,Barrett,6.599992047995329e-06,15.5,26.17578125
64,Montgomery,4.2000028770416975e-06,18.8,26.17578125
64,Barrett,6.299989763647318e-06,16.8,26.17578125
64,Montgomery,3.5999983083456755e-06,15.2,26.17578125
64,Barrett,6.89999433234334e-06,15.7,26.17578125
64,Montgomery,4.6000059228390455e-06,15.5,26.17578125
64,Barrett,5.699985194951296e-06,18.0,26.17578125
64,Montgomery,4.1000021155923605e-06,20.3,26.17578125
64,Barrett,7.099995855242014e-06,18.3,26.17578125
64,Montgomery,5.0000089686363935e-06,15.5,26.17578125
64,Barrett,6.999995093792677e-06,16.0,26.17578125
64,Montgomery,5.3000112529844046e-06,16.1,26.17578125
64,Barrett,6.599992047995329e-06,15.8,26.1796875
64,Montgomery,4.5000051613897085e-06,16.4,26.1796875
64,Barrett,6.199989002197981e-06,15.0,26.1796875
64,Montgomery,4.1000021155923605e-06,16.7,26.1796875
64,Barrett,9.800016414374113e-06,17.1,26.1796875
64,Montgomery,6.199989002197981e-06,13.7,26.1796875
64,Barrett,6.199989002197981e-06,14.2,26.1796875
64,Montgomery,4.6000059228390455e-06,15.8,26.1796875
64,Barrett,7.199996616691351e-06,14.8,26.1796875
64,Montgomery,4.5000051613897085e-06,16.6,26.1796875
64,Barrett,6.199989002197981e-06,14.2,26.15625
64,Montgomery,5.5000127758830786e-06,14.3,26.15625
64,Barrett,6.700021913275123e-06,13.8,26.15625
64,Montgomery,5.1000097300857306e-06,13.6,26.15625
64,Barrett,6.000016583129764e-06,15.1,26.15625
64,Montgomery,3.9000005926936865e-06,16.4,26.15625
64,Barrett,5.700014298781753e-06,13.9,26.15625
64,Montgomery,3.6999990697950125e-06,15.1,26.15625
64,Barrett,6.299989763647318e-06,14.1,26.15625
64,Montgomery,4.0000013541430235e-06,15.2,26.15625
64,Barrett,5.89998671784997e-06,15.6,26.15625
64,Montgomery,4.3000036384910345e-06,15.8,26.15625
64,Barrett,7.199996616691351e-06,13.9,26.15625
64,Montgomery,5.299982149153948e-06,13.9,26.15625
64,Barrett,5.999987479299307e-06,14.3,26.16015625
64,Montgomery,4.3000036384910345e-06,15.6,26.16015625
64,Barrett,6.699992809444666e-06,13.6,26.16015625
64,Montgomery,4.5000051613897085e-06,15.0,26.16015625
64,Barrett,5.80001506023109e-06,16.2,26.16015625
64,Montgomery,3.9000005926936865e-06,13.9,26.16015625
64,Barrett,6.89999433234334e-06,15.8,26.16015625
64,Montgomery,5.5000127758830786e-06,15.7,26.16015625
64,Barrett,5.700014298781753e-06,14.9,26.16015625
64,Montgomery,3.7999998312443495e-06,13.9,26.16015625
64,Barrett,6.199989002197981e-06,14.3,26.16015625
64,Montgomery,4.5000051613897085e-06,14.2,26.16015625
64,Barrett,6.499991286545992e-06,16.0,26.16015625
64,Montgomery,4.6000059228390455e-06,14.1,26.16015625
64,Barrett,5.700014298781753e-06,13.7,26.16015625
64,Montgomery,4.4000043999403715e-06,14.7,26.16015625
64,Barrett,6.799993570894003e-06,14.4,26.16015625
64,Montgomery,4.5000051613897085e-06,19.0,26.16015625
64,Barrett,6.099988240748644e-06,14.4,26.16015625
64,Montgomery,4.2000028770416975e-06,12.7,26.16015625
64,Barrett,6.200018106028438e-06,14.0,26.16015625
64,Montgomery,4.4000043999403715e-06,14.6,26.16015625
64,Barrett,5.299982149153948e-06,14.4,26.16015625
64,Montgomery,3.9000005926936865e-06,16.5,26.16015625
64,Barrett,6.099988240748644e-06,14.5,26.16015625
64,Montgomery,3.6999990697950125e-06,13.6,26.16015625
64,Barrett,6.399990525096655e-06,13.9,26.16015625
64,Montgomery,3.7999998312443495e-06,14.2,26.16015625
256,Barrett,6.400019628927112e-06,17.1,26.19140625
256,Montgomery,5.999987479299307e-06,14.6,26.19140625
256,Barrett,7.399998139590025e-06,14.8,26.19140625
256,Montgomery,5.2000104915350676e-06,13.8,26.19140625
256,Barrett,8.100003469735384e-06,14.5,26.19140625
256,Montgomery,4.6000059228390455e-06,15.2,26.19140625
256,Barrett,8.400005754083395e-06,15.9,26.19140625
256,Montgomery,4.7000066842883825e-06,13.7,26.19140625
256,Barrett,6.999995093792677e-06,13.6,26.19140625
256,Montgomery,4.4000043999403715e-06,14.2,26.19140625
256,Barrett,7.899972843006253e-06,16.6,26.19140625
256,Montgomery,4.2000028770416975e-06,13.5,26.19140625
256,Barrett,6.599992047995329e-06,14.8,26.19140625
256,Montgomery,3.9000005926936865e-06,13.1,26.19140625
256,Barrett,7.599999662488699e-06,16.0,26.19140625
256,Montgomery,4.5000051613897085e-06,14.6,26.19140625
256,Barrett,7.099995855242014e-06,16.2,26.19140625
256,Montgomery,4.5000051613897085e-06,13.8,26.19140625
256,Barrett,7.199996616691351e-06,13.9,26.1953125
256,Montgomery,4.6000059228390455e-06,13.9,26.1953125
256,Barrett,7.300026481971145e-06,13.7,26.1953125
256,Montgomery,4.699977580457926e-06,16.6,26.1953125
256,Barrett,1.8499995348975062e-05,14.0,26.1953125
256,Montgomery,4.7000066842883825e-06,14.1,26.1953125
256,Barrett,8.000002708286047e-06,13.1,26.1953125
256,Montgomery,4.8000074457377195e-06,14.3,26.1953125
256,Barrett,8.599978173151612e-06,15.1,26.1953125
256,Montgomery,4.9000082071870565e-06,17.1,26.1953125
256,Barrett,7.90000194683671e-06,14.9,26.1953125
256,Montgomery,5.2000104915350676e-06,15.2,26.1953125
256,Barrett,8.600007276982069e-06,13.6,26.1953125
256,Montgomery,5.099980626255274e-06,14.2,26.1953125
256,Barrett,8.000002708286047e-06,17.6,26.1953125
256,Montgomery,4.9000082071870565e-06,14.3,26.1953125
256,Barrett,8.199975127354264e-06,13.6,26.1953125
256,Montgomery,5.0000089686363935e-06,16.1,26.1953125
256,Barrett,8.800008799880743e-06,13.8,26.1953125
256,Montgomery,5.2000104915350676e-06,16.1,26.1953125
256,Barrett,8.100003469735384e-06,14.7,26.1953125
256,Montgomery,5.099980626255274e-06,14.2,26.1953125
256,Barrett,7.299997378140688e-06,15.0,26.1953125
256,Montgomery,4.4000043999403715e-06,16.8,26.1953125
256,Barrett,8.500006515532732e-06,15.2,26.1953125
256,Montgomery,4.8000074457377195e-06,15.3,26.1953125
256,Barrett,6.799993570894003e-06,14.3,26.1953125
256,Montgomery,4.3000036384910345e-06,14.6,26.1953125
256,Barrett,7.90000194683671e-06,14.5,26.1953125
256,Montgomery,5.3000112529844046e-06,16.2,26.1953125
256,Barrett,7.499998901039362e-06,14.8,26.19921875
256,Montgomery,4.699977580457926e-06,15.2,26.19921875
256,Barrett,8.400005754083395e-06,15.4,26.19921875
256,Montgomery,4.9000082071870565e-06,14.6,26.19921875
256,Barrett,7.99997360445559e-06,14.2,26.19921875
256,Montgomery,5.0000089686363935e-06,17.1,26.19921875
256,Barrett,8.200004231184721e-06,15.4,26.19921875
256,Montgomery,4.7000066842883825e-06,16.5,26.19921875
256,Barrett,7.299997378140688e-06,14.2,26.203125
256,Montgomery,4.799978341907263e-06,14.2,26.203125
256,Barrett,7.90000194683671e-06,16.9,26.203125
256,Montgomery,4.399975296109915e-06,15.3,26.203125
256,Barrett,7.199996616691351e-06,13.9,26.203125
256,Montgomery,5.1000097300857306e-06,13.5,26.203125
256,Barrett,9.800016414374113e-06,13.1,26.203125
256,Montgomery,5.89998671784997e-06,13.6,26.203125
256,Barrett,6.999995093792677e-06,16.2,26.203125
256,Montgomery,4.1000021155923605e-06,13.9,26.203125
256,Barrett,8.299975888803601e-06,14.1,26.203125
256,Montgomery,5.0000089686363935e-06,15.3,26.203125
256,Barrett,7.599999662488699e-06,14.4,26.203125
256,Montgomery,4.6000059228390455e-06,14.3,26.203125
256,Barrett,1.1299998732283711e-05,15.9,26.203125
256,Montgomery,6.999995093792677e-06,14.7,26.203125
256,Barrett,7.100024959072471e-06,13.7,26.203125
256,Montgomery,4.799978341907263e-06,14.0,26.203125
256,Barrett,6.000016583129764e-06,13.5,26.203125
256,Montgomery,4.4000043999403715e-06,16.7,26.203125
256,Barrett,7.99997360445559e-06,14.1,26.203125
256,Montgomery,5.3000112529844046e-06,14.9,26.203125
