Bit Width,Algorithm,Execution_Time_Mean,Execution_Time_Std,Execution_Time_CV,CPU_Usage_Mean,CPU_Usage_Std,CPU_Usage_CV,Memory_Usage_Mean,Memory_Usage_Std,Memory_Usage_CV
64,Barrett,6.9280006573535504e-06,2.0661330987081627e-06,0.29673445172421314,19.832,7.755843414529916,0.38911692021094063,26.17609375,0.019556328596208376,0.0007433615364842705
64,Montgomery,4.801999893970787e-06,1.456574711463861e-06,0.3018062413815118,19.993,7.300854453937277,0.3633400921228181,26.1763671875,0.019139658679999484,0.0007275157702632245
256,Barrett,8.131998765747994e-06,1.6278434039675737e-06,0.19917412473631027,16.797,4.9294713589580645,0.29200226669882556,26.3405078125,0.13313710772219572,0.005029126641720716
256,Montgomery,5.1250006072223184e-06,2.062624388045127e-06,0.40044587520291886,16.577,4.302239374600587,0.2582297236624856,26.3425390625,0.1330208729603331,0.005024348532025359
512,Barrett,8.376999176107347e-06,2.9599292650464606e-06,0.35156890570615945,14.582,1.4532707798603675,0.0991624035574822,26.51,0.008801789151440214,0.00033035343756109193
512,Montgomery,5.831001326441765e-06,7.210689395299397e-07,0.12304139477153805,14.658,1.149807186295409,0.07804909984028129,26.509765625,0.008909350647579601,0.0003343934492863838
1024,Barrett,9.002999286167324e-06,3.861398384982667e-06,0.4267514370044058,15.460999999999999,2.9209067016246784,0.18797396501371777,26.0410546875,0.16313214652428304,0.006233020832977688
1024,Montgomery,9.242000523954629e-06,3.074502203808616e-06,0.3309987983897248,15.624,3.3969421781384748,0.21632839169389265,26.0411328125,0.16310187194391446,0.006231845393256836
2048,Barrett,1.4376999752129775e-05,2.062660479614394e-05,1.4275031645101137,14.520999999999999,1.0813660459125418,0.07409583572733555,26.04625,0.006906065031348505,0.00026381716930575443
2048,Montgomery,1.960100198630236e-05,1.4477802654227008e-05,0.7349232334107957,14.659,1.1103821346043379,0.07536777913356624,26.0463671875,0.006904614212500995,0.00026376056015988504
4096,Barrett,2.542100119171664e-05,7.708206460939458e-06,0.30170206646927605,15.659,4.30794649807806,0.2737309307947588,26.0575390625,0.041343051845529874,0.0015786531912811057
4096,Montgomery,5.519699945580211e-05,1.3663188555250726e-05,0.24629420253503279,15.923,3.747453141869162,0.23416873687782122,26.0586328125,0.040459912326945714,0.0015448663313002739
